id,name,category,power,interest,attitude,quadrant,strategy,attitude_label
S01,시장,정부,95,80,1,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",지지
S02,환경부 장관,정부,85,75,1,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",지지
S03,환경국장,정부,70,90,1,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",지지
S04,재정국장,정부,75,40,-1,Keep Satisfied (만족 유지),"정기적 업데이트 제공, 주요 의사결정 사전 협의",반대
S05,기획조정실장,정부,65,50,0,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",중립
S06,환경시민단체 A,시민사회,40,95,1,Keep Informed (정보 제공),"정보 공유, 의견 청취, 필요시 참여 기회 제공",지지
S07,환경시민단체 B,시민사회,35,90,1,Keep Informed (정보 제공),"정보 공유, 의견 청취, 필요시 참여 기회 제공",지지
S08,대형 제조업체,기업,80,60,-1,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",반대
S09,중소기업협회,기업,55,45,-1,Keep Satisfied (만족 유지),"정기적 업데이트 제공, 주요 의사결정 사전 협의",반대
S10,지역 언론사,언론,60,70,0,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",중립
S11,환경 전문가,전문가,45,85,1,Keep Informed (정보 제공),"정보 공유, 의견 청취, 필요시 참여 기회 제공",지지
S12,대학 연구팀,전문가,40,80,1,Keep Informed (정보 제공),"정보 공유, 의견 청취, 필요시 참여 기회 제공",지지
S13,지역 상공회의소,기업,50,55,-1,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",반대
S14,시의회 의원,정치,70,65,0,Key Players (핵심 관리),"적극적 참여와 협력, 정기적 소통, 의사결정 과정 참여",중립
S15,일반 시민,시민,25,35,0,Minimal Effort (최소 노력),"기본적 정보 제공, 모니터링 유지",중립
